comment,cleaned_comment
Luar biasa..mas Gibran akan bawa indonesia emas dan sejahtera lewat kerja nyata,biasamas akan bawa indonesia emas dan sejahtera lewat kerja nyata
Sy melihat gibran itu pendiam gk bkalan bs mnjwab debat visi misi gagasan ehhhhhh ternyata sy d buat kaget ternyata Gibran benar2 cerdas pintar berilmu dan beradab bravo 👏👏👏 anak muda terus maju tdinya sy mengidolakn ganjar dan mahfud tpi stelah mlihay debat capres ke 3 dan org2 bilang bagus debat cawapres dan sy penasaran akhirnya saya kagum dg gibran masha allah yes no 02✌️✌️✌️✌️✌️,lihat gibran itu diam bkalan mnjwab debat visi misi gagas ehhhhhh nyata buat kaget nyata benar cerdas pintar beril dan adab bravo anak muda terus maju tdinya mengidolakn ganjar dan mahfud tpi stelah mlihay debat capres dan org bilang bagus debat cawapres dan penasaran akhir saya kagum gibran masha allah yes
Tetap BPK Prabowo ✌️✌️✌️✌️✌️✌️✌️,bpk
"Stlh lht ms.gibran..jd mantap pilih paslon no.2...orangnya santun,tenang & cerdas",lht msgibranjd mantap pilih paslon noorangnya santuntenang cerdas
"Ini baru bagus debatnya masalah debat visi misi ,beda dengan depat capres kemarin saling debat menjatuhkan paslon lainnya😊",baru bagus debat masalah debat visi misi beda dengan depat capres kemarin saling debat jatuh paslon lain
ngawor tok,ngawor tok
Tipe pemimpin yang tegas itu bapk Ganjar,pimpin yang tegas itu bapk
"Slepat slepet slepat slepet, di suruh nyampai kan visi misi malah ngarang cerita bebas😂",slepet slepat slepet suruh nyampai kan visi misi malah ngarang cerita bebas
Ahhahaahahahah GANJAR PAKE TOPI APA ITU HAAHAHAHAH,ganjar pake topi apa itu haahahahah
Kebanyakan ngomong cak Imin cak Imin,ngomong cak cak
Pokok nya prabowo yg TERBAIK...capres yg lain nya kita SLEPET,nya prabowo terbaikcapres lain nya kita slepet
Gigi kau min di slepet😂😂,kau min slepet
Seperti kata cak imin bagaikan botol sm tutup nya..tp botol minyak angin wkwk,kata cak imin bagai botol tutup nyatp botol minyak angin wkwk
Prabowo Gibran mantap👍👍👍,mantap
"Hanya Gibran yang punya Visi jelas, saya tidak menemukan visi yang jelas untuk indonesia kedepan dari nomor 1 dan 3.",yang punya jelas saya tidak temu visi yang jelas untuk indonesia depan dari nomor dan
Duite mbahmu.. 5 M.tiap desa iku,mbah tiap desa iku
"plonga plong kata kalian ni boss.,, senggol dong   ... salute",plonga plong kata kalian boss senggol dong salute
Bgus juga klu buat di malaysia ...😂😂sebelum pru🎉,juga klu buat malaysia belum pru
"pak mahfud malah dongeng.
visi misinya apa pak...?
😂😂😂😂😂",pak mahfud malah dongeng visi misi apa pak
Cba klw mafud dgn pak anis pasti seru,klw mafud dgn pak anis pasti seru
Wlpun masih muda gila cerdas bget...bravoo mas gibrannnn,masih muda gila cerdas bgetbravoo mas gibrannnn
Kok gue geuli yah denger kata slepet..😅,gue geuli yah denger kata slepet
Gibran mantap❤,mantap
Slepet slepet doang bisa nya plis 😅 apa sih kosong,slepet doang bisa nya plis apa sih kosong
ngakak slepat slepet omdo doang🤣🤣,ngakak slepat slepet omdo doang
"CNN INDÓNESIA : Jangan lopa
 2 Priode Alan 😊",cnn indnesia lopa
Hongkong Al in prbaowo gibran ❤,prbaowo gibran
Hidup kosong 02 dn maju bersama bangsa indonesia,kosong maju sama bangsa indonesia
Hidup Ganjar Mahfud.  Tkn Jawa barat,barat
YG KAYA BOOLEH GA DIRAMPOK OLEH NEGARA ASET NYA DISITA,kaya booleh rampok oleh negara aset nya sita
"Gus gussssss

Trus nyindir blng bos",gussssss nyindir blng bos
"Kalo paslon   no urut 1 bisanya buat janji2 palsu'

Gak Capresnya
Gak Cawapresnya.
Semua nya sama sj.

Atau mungkin  Capres dan Cawapresnya sdh berdiskusikan gimana melumpuhkan hati rakyat saat blom terpilih tp kalau sdh terpilih ya kalau bodoh amat dgn Janjiii",paslon urut bisa buat janji palsu nya sama mungkin dan sdh diskusi gimana lumpuh hati rakyat saat blom pilih kalau sdh pilih kalau bodoh amat dgn
Kita harus slepettt 😂😂😂😂😂,harus slepettt
Moderator mya mendingan yang waktu debat capres,mya mending yang waktu debat capres
"Wajah nya kok mringis"" ..kalau ingin bab jangan di tahan ....",nya kok mringis kalau ingin bab jangan tahan
"Kita perlu walpres yang milenial krna dia paham juga apa yg dibutuhkan kan anak” muda,anak sekolah. Dll

Salut ya sma mas Gibran yang berani, dan semua yg disampaikan sangat logis",perlu walpres yang milenial krna dia paham juga apa butuh kan anak mudaanak sekolah sma mas yang berani dan semua sampai sangat logis
Banyak akun buxzer disini asem wkwk,akun buxzer sini asem wkwk
Lagu buat mas gibran sopan santunmu.....hai semanis madu tutur sapamu..... menyejukkan kalbu 🤭👍🙋🙏.,buat mas gibran sopan santunmuhai seman madu tutur sapa sejuk kalbu
Salut gibran,gibran
"klo gini mah, yakin capres nya aja di lawan sama gibran😂",klo gin mah yakin capres nya aja lawan sama gibran
Di debat cawapresma beneran lebih serius debat tentang gagasan..tpi pas liat debat capres rasanya kaya debat personal dari pihak2 lain dan saling menusuk bukan membahas bangsa tapi nalah menjatuhkan harga diri orang lain,debat cawapresma beneran lebih serius debat tentang gagasantpi pas liat debat capres rasa kaya debat personal dari pihak lain dan saling tusuk bukan bahas bangsa tapi nalah jatuh harga diri orang lain
Debat cuma akan menjadi hiburan klou pada realitasnya cuma omong2 janji2 kosong pd pengalaman  sebelumnya  malahan menjadi kemunafikan pilihlah akhlaknya agamanya yg paling baik.,cuma akan jadi hibur klou pada realitas cuma omong janji kosong alam belum malah jadi munafik pilih akhlak agama paling baik
1:35:27 Gibran nih ditanya tips and trick malah ngambang kemana2 jawabnya huftt😊,nih tanya tips and trick malah ngambang mana jawab huftt
"Tetap no.3 dong
Daripada yag tadinya pilih ini eh sekarang pilih itu,ah ga lucu udah punya hak pilih kok kayak anak kecil gapunya pendirian.",dong yag tadi pilih ini sekarang pilih ituah lucu udah punya hak pilih kok kayak anak kecil gapunya diri
dari opening dan penutup mrk ngomong aja udh keliatan mana yg mencerminkan salah satu nilai pancasila yaitu toleransi 😂😂😂,dari opening dan tutup mrk ngomong aja udh liat mana cermin salah satu nilai pancasila yaitu toleransi
31:22 AMIN2024❤❤,amin
24:18 Mari berantas Korupsi☝🏻,berantas
Suruh menyampaikan visi misi wapres nomer 1 dan wapres 2 bicaranya ngalor ngidul pak..pak..malu sama mas Gibran yg jelas menyampaikan visi misinya,sampai visi misi wapres nomer dan wapres bicara ngalor ngidul pakpakmalu sama mas jelas sampai visi misi
"Cawapres hasil nepotisme begitu, apa pantes dipilih? Nanya aja sich😅",hasil nepotisme begitu apa pantes pilih aja sich
Salfok sama kantung mata mas gibran.. sehatsehat semuanya ❤,sama kantung mata mas gibran sehatsehat semua
setelah melihat debat debat cawapres. gue rasa yang paling berbobot dan masuk akal cuma Prabowo Gibran.,telah lihat debat debat cawapres gue rasa yang paling bobot dan masuk akal cuma
Kenapa imin klo abis ngmmg mulutnya komat kamit 😪,imin klo abis ngmmg mulut komat kamit
Gegara lihat debat cawapres sepertinya perlu pindah nomor😅.,lihat debat cawapres seperti perlu pindah nomor
8 lebih lho pak mahvud investor yang masuk di ikn.. Masak ngga tau 😅,lebih lho pak mahvud investor yang masuk ikn ngga tau
Cak imin misi visunya apa ?!! Aku kok ngga paham iya 😅,imin misi visunya apa kok ngga paham iya
Ini pak mahmud bercerita apa to pak.. Pidatonya intinya mana ?!! Apa tujuan nya untuk indonesia maju,pak mahmud cerita apa pak inti mana tuju nya untuk indonesia maju
Coblos no 2 yeee love love❤❤❤❤,yeee love love
"paslon wapres 01 , 02 , 03. telah menyampaikan visi-misi nya. jelas & tegas. semua baik.ttp hanya kejujuran,ketulusan & cinta akan Bangsa & Negara itu yg menjadi penentu.kiranya yg menonton sadar & waras untuk menilainya. ❤",paslon wapres telah sampai visimisi nya jelas tegas semua baikttp hanya kejujuranketulusan cinta akan itu jadi penentukiranya tonton sadar waras untuk nila
"Anak muda bangsa yang luar biasa, 👍👍👍👍",muda bangsa yang luar biasa
Keren sekaleeeee jawabanmu Gibran💪💪💪🥰🥰🥰❤️❤️,sekaleeeee jawab
"klau tengok ini, persis film korea queemarker...",klau tengok ini persis film korea queemarker
Ucapan a cawapres 01 sama seperti anis disaat mencalon gebernur😂😂 tau a jakarta hancur😅😅,cawapres sama seperti anis saat calon gebernur tau jakarta hancur
Pak prabowo gibran pasti pemenang nya amin i love u pak,prabowo gibran pasti menang nya amin love pak
Cak imin cocok nya jadi pelawak,imin cocok nya jadi lawak
"Jikalau mau brantas kropsi itu berarti indonesia harus di update😂bagaimna mau brantas jikalau hukumannya tak membuat para koruptor itu jerah,coba di hukum mati itu baru,bagiakan henphone yg kena pirus terus di format . 
Dah bersih",mau brantas kropsi itu arti indonesia harus updatebagaimna mau brantas jikalau hukum tak buat para koruptor itu jerahcoba hukum mati itu barubagiakan henphone kena pirus terus format bersih
"Kemarin dengar banyak pujian untuk wakil no 2,
Penasaran, akhirnya nonton,,,
Ternyata betul pak gibran berilmu, tapi terlihat juga sangat berambisi layaknya anak muda",dengar banyak puji untuk wakil akhir nonton betul pak gibran beril tapi lihat juga sangat ambisi layak anak muda
Pak Gibran hebat mantap pak saya percaya. Bpk yg terbaek buat indonesia,hebat mantap pak saya percaya terbaek buat indonesia
Pak prabowo dan mas gibran lah pememnang nya amin ya allah,prabowo dan mas gibran lah pememnang nya amin allah
Malah ke kebun binatang ngakak banget 😂 selalu stay Amin no 1,kebun binatang ngakak banget selalu stay
"Taiwan hadirrrr
Mas gibran ❤❤❤ saluttt pinter, cerdas dan hebat 
Tetap dukung nomor 2 ... pak prabowo dan mas gibran ...",hadirrrr gibran saluttt pinter cerdas dan hebat dukung nomor pak prabowo dan mas gibran
Semoga Allah Melimpahkan Rezeky kepsda Abang abang dan kakak kakak. Semoga Allah Melimpahkan sukses lancar telkomsel samsung. Semoga Allah memberikan cita cita kebahagian. Aamiin aamiin.❤,kepsda abang dan kakak kakak sukses lancar telkomsel samsung beri cita cita kebahagian aamiin
Pak Gibran masya Allah nggk banyak janji dan stetmen beliau sangat jelas in shaa allah bissmillah prabowo Gibran presidenk qu di tahun 2024,masya nggk banyak janji dan stetmen beliau sangat jelas shaa allah bissmillah prabowo presidenk tahun
Gibran paling the best❤❤❤,paling the best
"Cawapras gk usah debat,,biar capresnya saja yg berdebat,,cawapres tinggal ngikut capres saja",usah debatbiar capresnya saja berdebatcawapres tinggal ngikut capres saja
"Prabowo gibram , luar biasaaa",gibram luar biasaaa
Klo ud menjelang pemilu bru inget2 rakyat yg ada dmn2. Klo ud jdi by by (selmat tinggal)😅. Prabowo_Gibran semngat👍🙏🇮🇩,jelang milu bru inget rakyat ada dmn jdi selmat tinggal prabowogibran semngat
"Mas gibran keren, cerdas bisa di pahami, tdk bertele tele, yuk kita dukung prabowo subianto dan gibran rakabuming raka kereenn👍",gibran keren cerdas bisa paham tdk tele tele yuk kita dukung prabowo subianto dan gibran rakabuming raka kereenn
"Baru nonton debat cawapres lebih seru ini si jawabannya terarah dan jelas.
Pendukungnya juga gmpang di atur saat di tegur jadi bisa fokus mendengarkan jawaban mereka",nonton debat cawapres lebih seru ini jawab arah dan jelas juga gmpang atur saat tegur jadi bisa fokus dengar jawab mereka
Ngk jadi golput gua ...saya pilih pak Ganjar dan pak Mahmud 😁🇮🇩👍,jadi golput gua saya pilih pak dan pak
Hebat anaku ghibran namanya sama dengan anaku ❤🎉,ana ghibran nama sama dengan ana
Bro smk okeh ngagur pilih krj hk gji 15 juta pnak jdi tkw,smk okeh ngagur pilih krj gji juta pnak jdi tkw
Q dukung pak ganjar pak mahfut the best,dukung pak ganjar pak mahfut the best
Ini bener2 gilakkkkkkk🎉saya puas atas jawabannya mas Gibran saya enggak pake mikir GI saya sah pindah ke 02 cerdas energik ❤ enggak pindah kelain hati GI🤗,bener gilakkkkkkksaya puas atas jawab mas saya enggak pake mikir saya sah pindah cerdas energik enggak pindah lain hati
slepet,slepet
2024 Prabowo gibran no debat❤❤❤❤,gibran debat
Anak magang😂😂😂😂,magang
Cak imin jambu omongannya 😂pengen bangun 40 kota sekelas jakarta😂😂😂,imin jambu omong ken bangun kota kelas jakarta
No 2 tetap mntaaaapppp,tetap mntaaaapppp
Gimana gimana??dlu ngedukung skarang kgak karena nyalon cawapress..iya iya katanya yaa mungkin sepemikiran ibarat apa tadi botol sama tutupnyaa..tapi kayanya nih tutup botol bukan original pabrik..cuma pas aja ke botolnya pas mau dipake nihh botol..tapi kira2 klo ada botol lain yg mau dipake..pindah juga kali nihh  tutup botol karena bukan bawaan pabrikk..hebat juga tuhh tutup botol pindah sono sini yg pnting kpake..bisa ajahhh dah ahh tutupp botol..,gimanadlu ngedukung skarang kgak karena nyalon cawapressiya iya kata yaa mungkin pikir ibarat apa tadi botol sama tutupnyaatapi kaya nih tutup botol bukan original pabrikcuma pas aja botol pas mau dipake nihh botoltapi kira klo ada botol lain mau dipakepindah juga kali nihh tutup botol karena bukan bawa pabrikkhebat juga tuhh tutup botol pindah sono sini pnting kpakebisa ajahhh dah ahh tutupp botol
Prabowo persiden❤,persiden
Capres Cawapres no 02 paling layak menang!!!!!,paling layak menang
wibawanya masih berwibawa yg muda walaupun masih terbilang bocah 😅,wibawa masih wibawa muda walaupun masih bilang bocah
Keren mas gibrann,mas gibrann
Anis jos,jos
"Boruto versi Indonesia (GIBRAN)
Meski Sasuke di Hina (PRABOWO)
Tapi pembalasan Boruto membungkam lawan.",versi gibran prabowo balas bungkam lawan
"Berasa lagi lihat pak Jokowi dalam diri mas gibran ,selalu tenang",lagi lihat pak dalam diri mas gibran selalu tenang
Mati hidup prabowo gibran,hidup prabowo gibran
"Berasa lagi lihat pak Jokowi dalam diri mas gibran ,selalu tenang",lagi lihat pak dalam diri mas gibran selalu tenang
"Mas Gibran,bisa bangat menahan diri,ketika mahfud sangat menekan bahwa Gibran pasti tidak tau
Padahal mahfud yg tidak tau",bisa bangat tahan diriketika mahfud sangat tekan bahwa pasti tidak tau mahfud tidak tau
Gibran the bese,the bese
"Dukung gibran , samangat mas gibran , 💪💪💪",gibran samangat mas gibran
Gibran diam2 mghnyutkn yaaa,diam mghnyutkn yaaa
"Awalnya Gak yakin  Buat Milih Anis,Tapi setelah nonton ini, Malah Makin Ga Yakin",yakin telah nonton ini
Si blimbing sayur taro di mana ya titel .,blimbing sayur taro mana titel
"Tersera kita  memilu, yg penting kita aman dan damai kita di Indonesia kita ini semoga Indonesian akur dan damai amin ya rabbal alami Allah huakbar 🤲",kita milu penting kita aman dan damai kita kita ini moga akur dan damai amin rabbal alami huakbar
"saya sebagai mentri pengertian, eeh ternyata disini yang cerdas anak muda👍🏻maju terus anak muda",saya bagai tri erti eeh nyata sini yang cerdas anak mudamaju terus anak muda
Pak Mahfud MD luar biasa 😊,luar biasa
"Pnjelasan gibran gampang di pahami seriuss 😭😭 gw dngerin yg bapak"" muterr2 😭",gibran gampang paham seriuss dngerin bapak muterr
Yg mudah lebih cerdas😢,mudah lebih cerdas
gua ga nyangka gibran se cerdas itu ...terharuuuu . anti menye menye,gua nyangka gibran cerdas itu terharuuuu anti menye menye
"Gibrang bohong atau puhak BRI yg tidak jujur,,,, 200 jta tanpa anggunan .",bohong atau puhak bri tidak jujur jta tanpa anggun
Serius debat paling seru paling berbobot dan paling edukasi drpd debat capres😅 lanjutkan mas gibran❤❤❤✌️✌️✌️✌️,debat paling seru paling bobot dan paling edukasi drpd debat capres lanjut mas gibran
"1:30:22 
Disini, Pak Mahfud aja kliatan Be-Te denger jawaban Pak Imin. Aplgi kita rakyatnya",aja kliatan denger jawab kita rakyat
"Amin lupa pernh motong tumpeng ya 😂 malu ampun dah dukung tpi pke suara lg.

😢kliatan kan yg ga bsa kerja yg mana😅 yg tong kosong tau kan 😢 miris kalah sama anak bocah 😂",lupa pernh motong tumpeng malu ampun dah dukung tpi pke suara kliatan kan bsa kerja mana tong kosong tau kan miris kalah sama anak bocah
Apaan mahfudz md pake baju kyk gitu,mahfudz pake baju kyk gitu
sekarang kita harus banyak mendukung anak muda indonesia untuk berprestasi pemikiran yg cerdas kerja yg cekatan klaus orang dewasi jd pemimpin kebanyakan koropsi aja yg banyak di pikirkan pokoknya prabowo gibran Indonesia bisa maju karena misi misinya meneruskan kinerja pak jokowi🥰🥰🥰✌✌✌✌✌✌✌✌💯💯💯💯,sekarang kita harus banyak dukung anak muda indonesia untuk prestasi pikir cerdas kerja cekat klaus orang dewasi pimpin banyak koropsi aja banyak pikir pokok prabowo gibran bisa maju karena misi misi terus kerja pak jokowi
Prabowo gibran i love you❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,gibran love you
"wow 5 miliar untuk setiap desa? akan ku tagih janji itu pak dan akan kulihat bagaimana perkembangan desa terpencil yang menjadi tempat saya lahir, semogaa ada perubahannya amiinn",wow miliar untuk tiap desa akan tagih janji itu pak dan akan lihat bagaimana kembang desa pencil yang jadi tempat saya lahir semogaa ada ubah amiinn
"Dari Debat,terbukti Ganjar Mahfud adalah Solusi Bagi Indonesia Maju.",bukti adalah
Wkwkw bawa contekan,bawa contek
SDM perlu di perbaiki pak,sdm perlu baik pak
Gibran the best 💪,the best
Yang layak jadi wapres adalah mas GIBRAN. Cawapres 01 & 03 tidak mengerti dan menjelaskan visi misi 5 tahun kedepan. Mereka berdua bicara sistem pemerintahan yang sedang berjalan saat ini alias menjelekan,layak jadi wapres adalah mas gibran tidak erti dan jelas visi misi tahun depan dua bicara sistem perintah yang sedang jalan saat ini alias jelek
